Code;Libellé;Libellé ticket de caisse;Famille;Marque;Prix d'achat HT;Prix de vente HT;Tva;Prix de vente TTC;Quantité;Poids (Kg);Unité;Désignation;Observations;Quantité d'Alerte
ART1482;FANTA KIWI DK 24x0.33L;;BOISSON;;0;14.5000;6.0000;15.3700;0;;;FANTA KIWI DK 24x0.33L;;
ART1483;FANTA LEMON DK 24x0.33L;;BOISSON;;0;14.5000;6.0000;15.3700;0;;;FANTA LEMON DK 24x0.33L;;
ART1484;FANTA ORANGE DK 24x0.33L;;BOISSON;;0;14.5000;6.0000;15.3700;0;;;FANTA ORANGE DK 24x0.33L;;
ART1485;FANTA EXOTIC DK 24x.33L;;BOISSON;;0;14.5000;6.0000;15.3700;0;;;FANTA EXOTIC DK 24x.33L;;
ART1510;COCA COLA 4x1,5L;;BOISSON;;8.1900;6.8000;6.0000;7.2080;0;;;COCA COLA 4x1,5L;;
ART1511;FANTA 4X1,5L;;BOISSON;;8.1900;9.0090;6.0000;9.5495;0;;;FANTA 4X1,5L;;
ART1512;EVIAN 6X1,5L;;BOISSON;;4.5900;5.3000;6.0000;5.6180;0;;;EVIAN 6X1,5L;;
ART1513;COCA COLA 24X0.33L;;BOISSON;;14.5000;16.7000;6.0000;17.7020;0;;;COCA COLA 24X0.33L;;
ART1514;COCA ZERO 24X0.33L;;BOISSON;;14.5000;16.7000;6.0000;17.7020;0;;;COCA ZERO 24X0.33L;;
ART1515;COCA ZERO 4x1,5L;;BOISSON;;8.1900;9.0090;6.0000;9.5495;0;;;COCA ZERO 4x1,5L;;
ART1516;SPA REINE 8X1.50L;;BOISSON;;12.5000;7.8000;6.0000;8.2680;0;;;SPA REINE 8X1.50L;;
ART1517;REDBULL 24X0.25l;;BOISSON;;20.5400;26.0500;6.0000;27.6130;0;;;REDBULL 24X0.25l;;
ART1518;EVIAN  24x0,5L;;BOISSON;;12.0000;12.0000;6.0000;12.7200;0;;;EVIAN  24x0,5L;;
ART1519;MIRINDA FRAISE 24X0.33L;;BOISSON;;12.0000;12.0000;6.0000;12.7200;0;;;MIRINDA FRAISE 24X0.33L;;
ART1520;MIRINDA ORANGE 24X0.33L;;BOISSON;;0;12.0000;6.0000;12.7200;0;;;MIRINDA ORANGE 24X0.33L;;
ART1521;THON NATURE 1700GR;;SNACK;;0;10.8000;6.0000;11.4480;0;;;THON NATURE 1700GR;;
ART1522;REDBULL VANILLE 24X0.25l;;BOISSON;;0;32.0000;6.0000;33.9200;0;;;REDBULL VANILLE 24X0.25l;;
ART1523;REDBULL PECHE 24X0.25l;;BOISSON;;0;32.0000;6.0000;33.9200;0;;;REDBULL PECHE 24X0.25l;;
